1,1
2,1
1,0
3,0
3,1
5,1
5,0
4,0
5,0
5,0
5,0
5,0
4,0
3,0
2,0
2,0
3,0
4,0
9,0
6,0
6,0
8,0
10,0
11,0
9,1
10,1
11,1
7,1
4,1
4,1
6,1
8,1
7,1
9,1
4,1
2,1
3,1
6,1
4,1
4,1
7,1
11,1
12,1
15,1
14,2
13,2
18,1
20,1
24,1
23,1
24,1
23,1
22,1
21,1
20,2
19,1
24,2
21,1
17,1
18,1
23,1
19,1
19,1
22,1
18,1
22,1
22,1
24,1
24,1
22,1
26,1
23,1
19,1
21,1
20,1
16,1
20,1
18,1
18,1
19,1
17,1
16,1
17,1
14,1
18,1
14,1
15,1
16,1
19,1
19,1
15,1
19,1
21,1
18,1
29,1
22,1
24,1
24,2
25,1
18,1
19,1
20,1
26,1
27,1
28,1
24,1
23,1
22,1
31,1
26,1
28,1
25,1
24,1
25,1
23,1
19,1
17,1
16,1
18,2
19,1
18,1
21,1
17,1
19,1
18,2
16,1
15,1
21,1
17,1
18,1
17,1
17,1
17,1
19,1
16,1
17,1
18,1
17,1
18,1
16,1
14,1
15,1
16,1
14,1
20,1
17,1
14,1
14,1
12,1
12,1
10,1
8,1
9,1
7,1
7,1
7,1
7,2
6,1
9,1
9,1
10,1
7,1
5,2
6,1
5,1
6,1
6,1
5,1
6,1
9,1
10,1
7,1
8,1
6,1
4,1
6,1
5,1
6,1
4,1
6,1
8,1
6,1
7,1
9,1
6,2
9,2
5,1
6,1
4,1
4,1
6,1
6,1
5,1
4,1
3,1
4,1
5,1
5,1
4,1
4,1
5,1
6,1
6,1
6,1
6,1
3,1
3,1
3,1
4,1
4,1
7,1
6,1
6,1
6,1
6,1
6,1
7,1
6,1
6,1
7,1
5,1
5,1
4,1
4,1
4,1
3,1
3,1
3,1
3,1
3,1
4,1
3,1
6,1
4,1
5,1
5,1
5,2
9,1
10,1
8,1
7,1
9,1
9,1
12,1
10,1
9,1
9,1
11,1
8,1
7,1
8,1
7,1
10,1
10,1
7,1
7,1
7,1
6,1
7,1
6,1
4,1
3,1
3,1
2,1
3,1
4,1
3,1
4,1
2,1
3,1
4,1
5,1
5,1
5,1
6,1
4,1
5,1
5,1
5,1
3,2
3,1
3,1
3,2
5,1
5,1
5,1
5,1
6,1
8,1
7,1
7,1
5,1
5,1
5,1
5,1
6,1
7,1
7,1
5,1
4,1
5,1
6,1
6,1
